id,kind,red,n,p,nodos,variante,repeticion,estado,T_Total,T_Dist,T_Scatter,T_Bcast,T_Summa,T_Calc,T_Gather,Checksum,WSum,Hash,Valido,pared_s,tx_mb_total,rx_mb_total,log
matriz_Wi-Fi_3072_24_1_1d_1,matriz,Wi-Fi,3072,24,1,1d,1,ok,0.580874,0.214223,0.024257,0.208929,0.000000,0.403331,0.081389,22083010.24,4.748730e+11,,,1.7965,0.0003,0.0058,logs/matriz_Wi-Fi_3072_24_1_1d_1.log
bcast_Wi-Fi_3072_16_4_world_1,bcast,Wi-Fi,3072,16,4,world,1,ok,,,,131.304446,,,,,,1814438071394838832,1,135.4434,1008.3108,1041.7848,logs/bcast_Wi-Fi_3072_16_4_world_1.log
bcast_Wi-Fi_3072_16_4_tuned-knomial_1,bcast,Wi-Fi,3072,16,4,tuned-knomial,1,ok,,,,29.575315,,,,,,1814438071394838832,1,34.1368,228.5797,239.988,logs/bcast_Wi-Fi_3072_16_4_tuned-knomial_1.log
bcast_Wi-Fi_3072_16_4_hier_1,bcast,Wi-Fi,3072,16,4,hier,1,ok,,,,30.463595,,,,,,1814438071394838832,1,34.3177,227.8871,239.6878,logs/bcast_Wi-Fi_3072_16_4_hier_1.log
bcast_Ethernet_3072_16_4_world_1,bcast,Ethernet,3072,16,4,world,1,ok,,,,4.350608,,,,,,1814438071394838832,1,6.8699,1032.3905,1032.4727,logs/bcast_Ethernet_3072_16_4_world_1.log
matriz_Wi-Fi_3072_96_4_1d_1,matriz,Wi-Fi,3072,96,4,1d,1,ok,100.772472,95.230768,10.017927,88.819305,0.000000,0.131551,63.335499,22083010.24,4.748730e+11,,,105.2986,729.059,761.4681,logs/matriz_Wi-Fi_3072_96_4_1d_1.log
bcast_Ethernet_3072_16_4_tuned-scatter_1,bcast,Ethernet,3072,16,4,tuned-scatter,1,ok,,,,4.373589,,,,,,1814438071394838832,1,6.9222,1032.4304,1032.4078,logs/bcast_Ethernet_3072_16_4_tuned-scatter_1.log
matriz_Wi-Fi_3072_64_4_2d_1,matriz,Wi-Fi,3072,64,4,2d,1,ok,87.778623,16.524873,0.000000,0.000000,68.731075,0.076255,14.472014,22083010.24,4.748730e+11,,,92.0982,678.3207,689.6412,logs/matriz_Wi-Fi_3072_64_4_2d_1.log
bcast_Ethernet_3072_16_4_hier_1,bcast,Ethernet,3072,16,4,hier,1,ok,,,,2.033956,,,,,,1814438071394838832,1,4.5473,238.4276,247.8118,logs/bcast_Ethernet_3072_16_4_hier_1.log
matriz_Ethernet_3072_96_4_1d-hier_1,matriz,Ethernet,3072,96,4,1d-hier,1,ok,3.216833,2.731472,0.623601,2.473515,0.000000,0.167191,1.686310,22083010.24,4.748730e+11,,,6.3231,358.9286,358.7951,logs/matriz_Ethernet_3072_96_4_1d-hier_1.log
bcast_Ethernet_3072_16_1_hier_1,bcast,Ethernet,3072,16,1,hier,1,ok,,,,0.116568,,,,,,1814438071394838832,1,1.0729,0.0076,0.0101,logs/bcast_Ethernet_3072_16_1_hier_1.log
bcast_Wi-Fi_3072_16_4_tuned-scatter_1,bcast,Wi-Fi,3072,16,4,tuned-scatter,1,ok,,,,134.479409,,,,,,1814438071394838832,1,138.0414,1006.5318,1042.3474,logs/bcast_Wi-Fi_3072_16_4_tuned-scatter_1.log
matriz_Wi-Fi_3072_64_4_1d_1,matriz,Wi-Fi,3072,64,4,1d,1,ok,51.728071,41.197898,11.641593,40.825353,0.000000,0.109942,28.858113,22083010.24,4.748730e+11,,,55.6974,343.0893,360.2714,logs/matriz_Wi-Fi_3072_64_4_1d_1.log
matriz_Ethernet_3072_64_4_2d_1,matriz,Ethernet,3072,64,4,2d,1,ok,5.469103,1.174037,0.000000,0.000000,4.243536,0.083625,0.770021,22083010.24,4.748730e+11,,,8.2754,678.1039,678.1563,logs/matriz_Ethernet_3072_64_4_2d_1.log
bcast_Ethernet_3072_16_4_tuned-knomial_1,bcast,Ethernet,3072,16,4,tuned-knomial,1,ok,,,,1.982795,,,,,,1814438071394838832,1,4.5244,238.4392,238.4518,logs/bcast_Ethernet_3072_16_4_tuned-knomial_1.log
matriz_Wi-Fi_3072_24_1_1d-hier_1,matriz,Wi-Fi,3072,24,1,1d-hier,1,ok,0.618796,0.204870,0.026634,0.202529,0.000000,0.436305,0.084016,22083010.24,4.748730e+11,,,1.7585,0.0,0.0035,logs/matriz_Wi-Fi_3072_24_1_1d-hier_1.log
bcast_Ethernet_3072_16_1_world_1,bcast,Ethernet,3072,16,1,world,1,ok,,,,0.115645,,,,,,1814438071394838832,1,1.0966,0.0002,0.0003,logs/bcast_Ethernet_3072_16_1_world_1.log
matriz_Wi-Fi_3072_96_4_1d-hier_1,matriz,Wi-Fi,3072,96,4,1d-hier,1,ok,51.594660,44.267116,10.406646,40.272313,0.000000,0.150437,30.749531,22083010.24,4.748730e+11,,,57.6038,342.9091,360.4731,logs/matriz_Wi-Fi_3072_96_4_1d-hier_1.log
matriz_Ethernet_3072_64_4_1d_1,matriz,Ethernet,3072,64,4,1d,1,ok,3.147138,2.550808,0.523536,2.485544,0.000000,0.114322,1.926574,22083010.24,4.748730e+11,,,5.9465,358.0176,357.871,logs/matriz_Ethernet_3072_64_4_1d_1.log
matriz_Ethernet_3072_24_1_1d_1,matriz,Ethernet,3072,24,1,1d,1,ok,0.640233,0.220387,0.027220,0.214118,0.000000,0.454589,0.092231,22083010.24,4.748730e+11,,,1.913,0.0151,0.015,logs/matriz_Ethernet_3072_24_1_1d_1.log
matriz_Ethernet_3072_24_1_1d-hier_1,matriz,Ethernet,3072,24,1,1d-hier,1,ok,0.690358,0.207621,0.025602,0.204415,0.000000,0.465013,0.153221,22083010.24,4.748730e+11,,,1.7417,0.01,0.0541,logs/matriz_Ethernet_3072_24_1_1d-hier_1.log
matriz_Ethernet_3072_96_4_1d_1,matriz,Ethernet,3072,96,4,1d,1,ok,6.233285,6.042949,0.524379,5.603491,0.000000,0.137357,3.200449,22083010.24,4.748730e+11,,,9.2746,755.5173,755.5612,logs/matriz_Ethernet_3072_96_4_1d_1.log
bcast_Wi-Fi_3072_16_4_hier_2,bcast,Wi-Fi,3072,16,4,hier,2,ok,,,,31.940442,,,,,,1814438071394838832,1,35.7191,228.0426,239.7368,logs/bcast_Wi-Fi_3072_16_4_hier_2.log
bcast_Wi-Fi_3072_16_4_world_2,bcast,Wi-Fi,3072,16,4,world,2,ok,,,,133.042611,,,,,,1814438071394838832,1,136.6091,1006.4714,1043.1003,logs/bcast_Wi-Fi_3072_16_4_world_2.log
matriz_Ethernet_3072_64_4_1d_2,matriz,Ethernet,3072,64,4,1d,2,ok,3.147924,2.577711,0.538926,2.507522,0.000000,0.114607,1.924771,22083010.24,4.748730e+11,,,5.9112,358.0022,357.8772,logs/matriz_Ethernet_3072_64_4_1d_2.log
bcast_Ethernet_3072_16_4_hier_2,bcast,Ethernet,3072,16,4,hier,2,ok,,,,2.035162,,,,,,1814438071394838832,1,4.5719,238.3151,238.3334,logs/bcast_Ethernet_3072_16_4_hier_2.log
matriz_Ethernet_3072_24_1_1d_2,matriz,Ethernet,3072,24,1,1d,2,ok,0.648645,0.221174,0.026282,0.218683,0.000000,0.425818,0.111006,22083010.24,4.748730e+11,,,1.8362,0.0001,0.0002,logs/matriz_Ethernet_3072_24_1_1d_2.log
bcast_Wi-Fi_3072_16_4_tuned-knomial_2,bcast,Wi-Fi,3072,16,4,tuned-knomial,2,ok,,,,29.650448,,,,,,1814438071394838832,1,32.9653,228.6166,240.0441,logs/bcast_Wi-Fi_3072_16_4_tuned-knomial_2.log
bcast_Ethernet_3072_16_4_world_2,bcast,Ethernet,3072,16,4,world,2,ok,,,,4.293832,,,,,,1814438071394838832,1,6.8737,1032.5434,1032.4349,logs/bcast_Ethernet_3072_16_4_world_2.log
matriz_Wi-Fi_3072_64_4_2d_2,matriz,Wi-Fi,3072,64,4,2d,2,ok,86.304863,15.984275,0.000000,0.000000,68.267785,0.077069,13.580634,22083010.24,4.748730e+11,,,90.0996,677.7441,688.936,logs/matriz_Wi-Fi_3072_64_4_2d_2.log
bcast_Ethernet_3072_16_1_world_2,bcast,Ethernet,3072,16,1,world,2,ok,,,,0.126964,,,,,,1814438071394838832,1,1.1737,0.0101,0.006,logs/bcast_Ethernet_3072_16_1_world_2.log
bcast_Ethernet_3072_16_4_tuned-scatter_2,bcast,Ethernet,3072,16,4,tuned-scatter,2,ok,,,,4.009925,,,,,,1814438071394838832,1,6.5342,1032.4816,1032.4852,logs/bcast_Ethernet_3072_16_4_tuned-scatter_2.log
matriz_Wi-Fi_3072_24_1_1d_2,matriz,Wi-Fi,3072,24,1,1d,2,ok,0.670333,0.217531,0.026221,0.215077,0.000000,0.449951,0.104419,22083010.24,4.748730e+11,,,1.8874,0.0,0.0067,logs/matriz_Wi-Fi_3072_24_1_1d_2.log
matriz_Ethernet_3072_24_1_1d-hier_2,matriz,Ethernet,3072,24,1,1d-hier,2,ok,0.677412,0.233066,0.026261,0.230796,0.000000,0.428267,0.100681,22083010.24,4.748730e+11,,,1.8016,0.0122,0.0042,logs/matriz_Ethernet_3072_24_1_1d-hier_2.log
matriz_Ethernet_3072_64_4_2d_2,matriz,Ethernet,3072,64,4,2d,2,ok,5.491510,1.206621,0.000000,0.000000,4.243602,0.088241,0.802518,22083010.24,4.748730e+11,,,8.3429,678.1171,678.0995,logs/matriz_Ethernet_3072_64_4_2d_2.log
matriz_Wi-Fi_3072_24_1_1d-hier_2,matriz,Wi-Fi,3072,24,1,1d-hier,2,ok,0.766984,0.237283,0.028507,0.229845,0.000000,0.530079,0.236967,22083010.24,4.748730e+11,,,1.9265,0.0002,0.0068,logs/matriz_Wi-Fi_3072_24_1_1d-hier_2.log
matriz_Wi-Fi_3072_96_4_1d_2,matriz,Wi-Fi,3072,96,4,1d,2,ok,102.160084,96.590294,11.684108,88.904194,0.000000,0.207441,61.367827,22083010.24,4.748730e+11,,,106.1011,730.1153,761.2114,logs/matriz_Wi-Fi_3072_96_4_1d_2.log
matriz_Wi-Fi_3072_64_4_1d_2,matriz,Wi-Fi,3072,64,4,1d,2,ok,48.975261,39.274337,9.545354,38.112645,0.000000,0.113042,29.132902,22083010.24,4.748730e+11,,,52.9307,343.0345,360.3371,logs/matriz_Wi-Fi_3072_64_4_1d_2.log
bcast_Ethernet_3072_16_1_hier_2,bcast,Ethernet,3072,16,1,hier,2,ok,,,,0.124067,,,,,,1814438071394838832,1,1.277,0.0098,0.0028,logs/bcast_Ethernet_3072_16_1_hier_2.log
matriz_Ethernet_3072_96_4_1d_2,matriz,Ethernet,3072,96,4,1d,2,ok,6.256718,6.064782,0.531527,5.614776,0.000000,0.143167,3.190785,22083010.24,4.748730e+11,,,9.2593,755.2011,755.1889,logs/matriz_Ethernet_3072_96_4_1d_2.log
matriz_Ethernet_3072_96_4_1d-hier_2,matriz,Ethernet,3072,96,4,1d-hier,2,ok,3.149514,2.677381,0.553355,2.433187,0.000000,0.142254,1.659147,22083010.24,4.748730e+11,,,6.2165,358.3875,358.3731,logs/matriz_Ethernet_3072_96_4_1d-hier_2.log
bcast_Ethernet_3072_16_4_tuned-knomial_2,bcast,Ethernet,3072,16,4,tuned-knomial,2,ok,,,,1.976867,,,,,,1814438071394838832,1,4.5211,238.4492,238.4302,logs/bcast_Ethernet_3072_16_4_tuned-knomial_2.log
bcast_Wi-Fi_3072_16_4_tuned-scatter_2,bcast,Wi-Fi,3072,16,4,tuned-scatter,2,ok,,,,132.262676,,,,,,1814438071394838832,1,135.7756,1007.1638,1041.4975,logs/bcast_Wi-Fi_3072_16_4_tuned-scatter_2.log
matriz_Wi-Fi_3072_96_4_1d-hier_2,matriz,Wi-Fi,3072,96,4,1d-hier,2,ok,50.817269,43.517527,11.031809,39.322074,0.000000,0.146853,29.972274,22083010.24,4.748730e+11,,,55.619,342.9628,360.3352,logs/matriz_Wi-Fi_3072_96_4_1d-hier_2.log
matriz_Ethernet_3072_64_4_1d_3,matriz,Ethernet,3072,64,4,1d,3,ok,3.147406,2.557276,0.516836,2.489048,0.000000,0.114819,1.901792,22083010.24,4.748730e+11,,,5.9914,358.0483,357.8519,logs/matriz_Ethernet_3072_64_4_1d_3.log
bcast_Ethernet_3072_16_4_tuned-knomial_3,bcast,Ethernet,3072,16,4,tuned-knomial,3,ok,,,,1.974092,,,,,,1814438071394838832,1,4.486,238.5252,238.4497,logs/bcast_Ethernet_3072_16_4_tuned-knomial_3.log
matriz_Wi-Fi_3072_24_1_1d_3,matriz,Wi-Fi,3072,24,1,1d,3,ok,0.722138,0.239836,0.028203,0.234810,0.000000,0.498267,0.166231,22083010.24,4.748730e+11,,,1.9505,0.0,0.0058,logs/matriz_Wi-Fi_3072_24_1_1d_3.log
matriz_Wi-Fi_3072_64_4_1d_3,matriz,Wi-Fi,3072,64,4,1d,3,ok,52.121543,42.182294,12.613532,39.430800,0.000000,0.112802,28.948374,22083010.24,4.748730e+11,,,55.8772,343.0383,359.9017,logs/matriz_Wi-Fi_3072_64_4_1d_3.log
bcast_Wi-Fi_3072_16_4_world_3,bcast,Wi-Fi,3072,16,4,world,3,ok,,,,133.632874,,,,,,1814438071394838832,1,137.5093,1001.1322,1041.4522,logs/bcast_Wi-Fi_3072_16_4_world_3.log
matriz_Ethernet_3072_96_4_1d_3,matriz,Ethernet,3072,96,4,1d,3,ok,6.266375,6.067907,0.543998,5.598411,0.000000,0.160217,3.172311,22083010.24,4.748730e+11,,,9.272,755.6429,755.6313,logs/matriz_Ethernet_3072_96_4_1d_3.log
bcast_Wi-Fi_3072_16_4_hier_3,bcast,Wi-Fi,3072,16,4,hier,3,ok,,,,29.791004,,,,,,1814438071394838832,1,34.5126,227.9932,239.6743,logs/bcast_Wi-Fi_3072_16_4_hier_3.log
matriz_Wi-Fi_3072_96_4_1d-hier_3,matriz,Wi-Fi,3072,96,4,1d-hier,3,ok,52.658762,45.811523,11.020813,41.326643,0.000000,0.155730,31.391598,22083010.24,4.748730e+11,,,57.6712,343.0835,360.4108,logs/matriz_Wi-Fi_3072_96_4_1d-hier_3.log
matriz_Ethernet_3072_24_1_1d_3,matriz,Ethernet,3072,24,1,1d,3,ok,0.718621,0.251738,0.033504,0.244302,0.000000,0.462293,0.145539,22083010.24,4.748730e+11,,,1.907,0.0351,0.5717,logs/matriz_Ethernet_3072_24_1_1d_3.log
matriz_Ethernet_3072_64_4_2d_3,matriz,Ethernet,3072,64,4,2d,3,ok,5.546243,1.106557,0.000000,0.000000,4.266734,0.085048,0.747675,22083010.24,4.748730e+11,,,8.433,678.1695,678.1009,logs/matriz_Ethernet_3072_64_4_2d_3.log
bcast_Wi-Fi_3072_16_4_tuned-scatter_3,bcast,Wi-Fi,3072,16,4,tuned-scatter,3,ok,,,,134.956809,,,,,,1814438071394838832,1,138.4293,1006.3761,1041.5666,logs/bcast_Wi-Fi_3072_16_4_tuned-scatter_3.log
bcast_Ethernet_3072_16_4_tuned-scatter_3,bcast,Ethernet,3072,16,4,tuned-scatter,3,ok,,,,4.372026,,,,,,1814438071394838832,1,6.9977,1032.4482,1032.3902,logs/bcast_Ethernet_3072_16_4_tuned-scatter_3.log
bcast_Ethernet_3072_16_1_world_3,bcast,Ethernet,3072,16,1,world,3,ok,,,,0.115813,,,,,,1814438071394838832,1,1.1531,0.0123,0.0031,logs/bcast_Ethernet_3072_16_1_world_3.log
bcast_Ethernet_3072_16_4_hier_3,bcast,Ethernet,3072,16,4,hier,3,ok,,,,2.030414,,,,,,1814438071394838832,1,4.6583,238.9677,238.9416,logs/bcast_Ethernet_3072_16_4_hier_3.log
matriz_Wi-Fi_3072_24_1_1d-hier_3,matriz,Wi-Fi,3072,24,1,1d-hier,3,ok,0.673459,0.306957,0.027549,0.302477,0.000000,0.486205,0.168394,22083010.24,4.748730e+11,,,1.8926,0.0002,0.0035,logs/matriz_Wi-Fi_3072_24_1_1d-hier_3.log
bcast_Wi-Fi_3072_16_4_tuned-knomial_3,bcast,Wi-Fi,3072,16,4,tuned-knomial,3,ok,,,,29.354085,,,,,,1814438071394838832,1,33.0689,228.5804,239.8327,logs/bcast_Wi-Fi_3072_16_4_tuned-knomial_3.log
matriz_Ethernet_3072_96_4_1d-hier_3,matriz,Ethernet,3072,96,4,1d-hier,3,ok,3.220495,2.772227,0.664168,2.499566,0.000000,0.180399,1.535231,22083010.24,4.748730e+11,,,6.4462,358.3191,358.2619,logs/matriz_Ethernet_3072_96_4_1d-hier_3.log
matriz_Wi-Fi_3072_96_4_1d_3,matriz,Wi-Fi,3072,96,4,1d,3,ok,102.990948,97.790163,11.588939,90.003654,0.000000,0.160638,59.841959,22083010.24,4.748730e+11,,,107.8051,727.101,760.3276,logs/matriz_Wi-Fi_3072_96_4_1d_3.log
matriz_Ethernet_3072_24_1_1d-hier_3,matriz,Ethernet,3072,24,1,1d-hier,3,ok,0.742694,0.243762,0.029715,0.240004,0.000000,0.539601,0.192165,22083010.24,4.748730e+11,,,1.941,0.0458,0.0157,logs/matriz_Ethernet_3072_24_1_1d-hier_3.log
bcast_Ethernet_3072_16_4_world_3,bcast,Ethernet,3072,16,4,world,3,ok,,,,4.003415,,,,,,1814438071394838832,1,6.5663,1032.8154,1032.4536,logs/bcast_Ethernet_3072_16_4_world_3.log
bcast_Ethernet_3072_16_1_hier_3,bcast,Ethernet,3072,16,1,hier,3,ok,,,,0.128914,,,,,,1814438071394838832,1,1.3013,0.11,0.0163,logs/bcast_Ethernet_3072_16_1_hier_3.log
matriz_Wi-Fi_3072_64_4_2d_3,matriz,Wi-Fi,3072,64,4,2d,3,ok,87.314378,15.496364,0.000000,0.000000,68.794664,0.077263,13.551490,22083010.24,4.748730e+11,,,91.4615,676.8545,688.4756,logs/matriz_Wi-Fi_3072_64_4_2d_3.log
matriz_Wi-Fi_3072_96_4_1d-hier_4,matriz,Wi-Fi,3072,96,4,1d-hier,4,ok,51.478540,43.820852,10.443778,39.646351,0.000000,0.150660,31.069065,22083010.24,4.748730e+11,,,55.9353,342.9385,360.0333,logs/matriz_Wi-Fi_3072_96_4_1d-hier_4.log
matriz_Ethernet_3072_24_1_1d-hier_4,matriz,Ethernet,3072,24,1,1d-hier,4,ok,0.691021,0.223577,0.028194,0.213930,0.000000,0.496989,0.156853,22083010.24,4.748730e+11,,,1.87,0.0172,0.0076,logs/matriz_Ethernet_3072_24_1_1d-hier_4.log
matriz_Ethernet_3072_24_1_1d_4,matriz,Ethernet,3072,24,1,1d,4,ok,0.633399,0.206028,0.026285,0.202631,0.000000,0.411193,0.103077,22083010.24,4.748730e+11,,,1.6373,0.0003,0.0003,logs/matriz_Ethernet_3072_24_1_1d_4.log
matriz_Ethernet_3072_96_4_1d-hier_4,matriz,Ethernet,3072,96,4,1d-hier,4,ok,3.087679,2.639515,0.537608,2.409943,0.000000,0.160914,1.622038,22083010.24,4.748730e+11,,,6.5196,358.8906,358.9298,logs/matriz_Ethernet_3072_96_4_1d-hier_4.log
matriz_Ethernet_3072_96_4_1d_4,matriz,Ethernet,3072,96,4,1d,4,ok,6.260268,6.071350,0.530857,5.610916,0.000000,0.156382,3.201654,22083010.24,4.748730e+11,,,9.2816,755.4219,755.4226,logs/matriz_Ethernet_3072_96_4_1d_4.log
matriz_Wi-Fi_3072_24_1_1d-hier_4,matriz,Wi-Fi,3072,24,1,1d-hier,4,ok,0.608481,0.211301,0.026590,0.205453,0.000000,0.426526,0.124766,22083010.24,4.748730e+11,,,1.7093,0.0,0.0015,logs/matriz_Wi-Fi_3072_24_1_1d-hier_4.log
matriz_Wi-Fi_3072_24_1_1d_4,matriz,Wi-Fi,3072,24,1,1d,4,ok,0.660040,0.198285,0.025429,0.195916,0.000000,0.471235,0.112992,22083010.24,4.748730e+11,,,1.7503,0.0,0.0014,logs/matriz_Wi-Fi_3072_24_1_1d_4.log
matriz_Wi-Fi_3072_96_4_1d_4,matriz,Wi-Fi,3072,96,4,1d,4,ok,101.082387,96.333401,11.373463,88.921448,0.000000,0.152540,60.188042,22083010.24,4.748730e+11,,,105.1178,729.3085,760.5919,logs/matriz_Wi-Fi_3072_96_4_1d_4.log
matriz_Ethernet_3072_24_1_1d_5,matriz,Ethernet,3072,24,1,1d,5,ok,0.649584,0.209724,0.029501,0.205216,0.000000,0.462976,0.137248,22083010.24,4.748730e+11,,,1.7654,0.0047,0.0174,logs/matriz_Ethernet_3072_24_1_1d_5.log
matriz_Wi-Fi_3072_24_1_1d_5,matriz,Wi-Fi,3072,24,1,1d,5,ok,0.666321,0.209653,0.028292,0.204416,0.000000,0.444397,0.117601,22083010.24,4.748730e+11,,,1.7089,0.0,0.0037,logs/matriz_Wi-Fi_3072_24_1_1d_5.log
matriz_Wi-Fi_3072_96_4_1d_5,matriz,Wi-Fi,3072,96,4,1d,5,ok,100.293439,94.881366,10.178288,88.481721,0.000000,0.144176,61.103169,22083010.24,4.748730e+11,,,104.8139,730.2673,760.7453,logs/matriz_Wi-Fi_3072_96_4_1d_5.log
matriz_Ethernet_3072_96_4_1d_5,matriz,Ethernet,3072,96,4,1d,5,ok,6.265845,6.069576,0.542600,5.627675,0.000000,0.165298,3.189533,22083010.24,4.748730e+11,,,9.2955,755.8435,756.1198,logs/matriz_Ethernet_3072_96_4_1d_5.log
matriz_Ethernet_3072_24_1_1d-hier_5,matriz,Ethernet,3072,24,1,1d-hier,5,ok,0.799483,0.251890,0.033820,0.245835,0.000000,0.544129,0.284931,22083010.24,4.748730e+11,,,1.9986,0.0316,0.0115,logs/matriz_Ethernet_3072_24_1_1d-hier_5.log
matriz_Wi-Fi_3072_24_1_1d-hier_5,matriz,Wi-Fi,3072,24,1,1d-hier,5,ok,4.768800,1.962139,0.042429,1.943345,0.000000,2.776766,3.140344,22083010.24,4.748730e+11,,,6.0565,0.0005,0.0121,logs/matriz_Wi-Fi_3072_24_1_1d-hier_5.log
matriz_Ethernet_3072_96_4_1d-hier_5,matriz,Ethernet,3072,96,4,1d-hier,5,ok,3.287980,2.822458,0.661119,2.559441,0.000000,0.144821,1.634140,22083010.24,4.748730e+11,,,6.4336,359.461,359.4354,logs/matriz_Ethernet_3072_96_4_1d-hier_5.log
matriz_Wi-Fi_3072_96_4_1d-hier_5,matriz,Wi-Fi,3072,96,4,1d-hier,5,ok,51.323317,44.428655,10.533637,40.601072,0.000000,0.178776,30.304066,22083010.24,4.748730e+11,,,55.7395,342.9218,360.0879,logs/matriz_Wi-Fi_3072_96_4_1d-hier_5.log
