id,kind,red,n,p,nodos,variante,repeticion,estado,T_Total,T_Dist,T_Scatter,T_Bcast,T_Summa,T_Calc,T_Gather,T_CalcMax,T_CalcMin,T_Reduce,Desbalance,Error,Pi,Checksum,WSum,Hash,Valido,pared_s,tx_mb_total,rx_mb_total,log
trapecio_Ethernet_100000000000_96_4_simetrico_1,trapecio,Ethernet,100000000000,96,4,simetrico,1,ok,1.003531,,,,,,,1.003478,0.794619,0.203577,1.263,6.53e-14,3.14159265358986,,,,,4.3007,0.3687,0.4079,logs/trapecio_Ethernet_100000000000_96_4_simetrico_1.log
trapecio_Ethernet_100000000_96_4_simetrico_1,trapecio,Ethernet,100000000,96,4,simetrico,1,ok,0.002030,,,,,,,0.001057,0.000792,0.001233,1.333,2.04e-14,3.14159265358977,,,,,2.8759,0.3436,0.3517,logs/trapecio_Ethernet_100000000_96_4_simetrico_1.log
trapecio_Ethernet_100000000_24_1_simetrico_1,trapecio,Ethernet,100000000,24,1,simetrico,1,ok,0.005188,,,,,,,0.005175,0.003185,0.001999,1.625,2.44e-14,3.14159265358982,,,,,0.9203,0.0016,0.0087,logs/trapecio_Ethernet_100000000_24_1_simetrico_1.log
matriz_Ethernet_7168_24_1_1d_1,matriz,Ethernet,7168,24,1,1d,1,ok,7.702684,1.885632,0.138326,1.860321,0.000000,6.687039,1.534567,,,,,,,120229724.49,6.032646e+12,,,9.039,0.3857,0.0443,logs/matriz_Ethernet_7168_24_1_1d_1.log
trapecio_Ethernet_100000000000_24_1_asimetrico_1,trapecio,Ethernet,100000000000,24,1,asimetrico,1,ok,4.528347,,,,,,,4.528285,3.560379,0.967966,1.272,4.82e-12,3.14159265359461,,,,,5.6931,0.0696,0.0996,logs/trapecio_Ethernet_100000000000_24_1_asimetrico_1.log
trapecio_Ethernet_100000000000_96_4_asimetrico_1,trapecio,Ethernet,100000000000,96,4,asimetrico,1,ok,1.045769,,,,,,,1.045479,0.879797,0.119710,1.188,8.54e-13,3.14159265358894,,,,,4.2629,0.3659,0.3852,logs/trapecio_Ethernet_100000000000_96_4_asimetrico_1.log
matriz_Ethernet_6144_24_1_1d_1,matriz,Ethernet,6144,24,1,1d,1,ok,4.997802,0.864789,0.120887,0.845763,0.000000,4.055243,1.070491,,,,,,,88332041.42,3.798985e+12,,,6.5126,0.0114,0.0616,logs/matriz_Ethernet_6144_24_1_1d_1.log
trapecio_Ethernet_100000000000_24_1_simetrico_1,trapecio,Ethernet,100000000000,24,1,simetrico,1,ok,5.378723,,,,,,,5.378630,4.313824,1.020123,1.247,1.60e-13,3.14159265358995,,,,,6.528,0.0344,0.0874,logs/trapecio_Ethernet_100000000000_24_1_simetrico_1.log
matriz_Ethernet_6144_96_4_1d_1,matriz,Ethernet,6144,96,4,1d,1,ok,25.194367,24.233612,1.993301,22.538174,0.000000,0.956615,12.844149,,,,,,,88332041.42,3.798985e+12,,,29.4522,3022.3925,3020.8739,logs/matriz_Ethernet_6144_96_4_1d_1.log
trapecio_Ethernet_100000000_24_1_asimetrico_1,trapecio,Ethernet,100000000,24,1,asimetrico,1,ok,0.004215,,,,,,,0.004179,0.003799,0.000352,1.100,2.18e-14,3.14159265358981,,,,,1.0871,0.0062,0.0026,logs/trapecio_Ethernet_100000000_24_1_asimetrico_1.log
trapecio_Ethernet_100000000_96_4_asimetrico_1,trapecio,Ethernet,100000000,96,4,asimetrico,1,ok,0.001980,,,,,,,0.001042,0.000872,0.001058,1.195,1.15e-14,3.14159265358978,,,,,2.97,0.5511,0.4045,logs/trapecio_Ethernet_100000000_96_4_asimetrico_1.log
matriz_Ethernet_7168_96_4_1d_1,matriz,Ethernet,7168,96,4,1d,1,ok,35.115897,33.379566,2.704564,31.052964,0.000000,2.073700,17.323293,,,,,,,120229724.49,6.032646e+12,,,39.3168,4118.9646,4112.954,logs/matriz_Ethernet_7168_96_4_1d_1.log
trapecio_Ethernet_100000000_96_4_simetrico_2,trapecio,Ethernet,100000000,96,4,simetrico,2,ok,0.005691,,,,,,,0.000993,0.000774,0.004848,1.283,2.04e-14,3.14159265358977,,,,,2.9719,0.3748,0.398,logs/trapecio_Ethernet_100000000_96_4_simetrico_2.log
trapecio_Ethernet_100000000_24_1_asimetrico_2,trapecio,Ethernet,100000000,24,1,asimetrico,2,ok,0.006914,,,,,,,0.006903,0.003704,0.003087,1.863,2.18e-14,3.14159265358981,,,,,1.0126,0.2254,0.0179,logs/trapecio_Ethernet_100000000_24_1_asimetrico_2.log
trapecio_Ethernet_100000000000_24_1_asimetrico_2,trapecio,Ethernet,100000000000,24,1,asimetrico,2,ok,5.152992,,,,,,,5.152890,3.692202,1.169727,1.396,4.82e-12,3.14159265359461,,,,,6.1969,0.6694,0.0562,logs/trapecio_Ethernet_100000000000_24_1_asimetrico_2.log
matriz_Ethernet_6144_96_4_1d_2,matriz,Ethernet,6144,96,4,1d,2,ok,25.321883,24.207406,1.990343,22.520139,0.000000,0.893665,12.839503,,,,,,,88332041.42,3.798985e+12,,,29.2569,3025.8438,3020.9902,logs/matriz_Ethernet_6144_96_4_1d_2.log
matriz_Ethernet_7168_24_1_1d_2,matriz,Ethernet,7168,24,1,1d,2,ok,7.686269,1.341778,0.168448,1.302905,0.000000,6.381015,1.251319,,,,,,,120229724.49,6.032646e+12,,,9.3432,1.781,0.3499,logs/matriz_Ethernet_7168_24_1_1d_2.log
trapecio_Ethernet_100000000_96_4_asimetrico_2,trapecio,Ethernet,100000000,96,4,asimetrico,2,ok,0.001903,,,,,,,0.000996,0.000872,0.000984,1.142,1.15e-14,3.14159265358978,,,,,8.2634,1.773,0.6085,logs/trapecio_Ethernet_100000000_96_4_asimetrico_2.log
trapecio_Ethernet_100000000000_96_4_asimetrico_2,trapecio,Ethernet,100000000000,96,4,asimetrico,2,ok,1.026163,,,,,,,1.026081,0.880812,0.056058,1.165,8.54e-13,3.14159265358894,,,,,3.9066,1.1033,0.4888,logs/trapecio_Ethernet_100000000000_96_4_asimetrico_2.log
matriz_Ethernet_7168_96_4_1d_2,matriz,Ethernet,7168,96,4,1d,2,ok,35.129908,33.244666,2.717303,30.936774,0.000000,1.817384,17.363087,,,,,,,120229724.49,6.032646e+12,,,39.1674,4113.9436,4111.2389,logs/matriz_Ethernet_7168_96_4_1d_2.log
matriz_Ethernet_6144_24_1_1d_2,matriz,Ethernet,6144,24,1,1d,2,ok,7.342714,1.612356,0.211735,1.576287,0.000000,5.647352,3.162475,,,,,,,88332041.42,3.798985e+12,,,8.8517,0.553,0.19,logs/matriz_Ethernet_6144_24_1_1d_2.log
trapecio_Ethernet_100000000_24_1_simetrico_2,trapecio,Ethernet,100000000,24,1,simetrico,2,ok,0.007164,,,,,,,0.007155,0.003278,0.003884,2.183,2.44e-14,3.14159265358982,,,,,1.0561,0.0144,0.0125,logs/trapecio_Ethernet_100000000_24_1_simetrico_2.log
trapecio_Ethernet_100000000000_24_1_simetrico_2,trapecio,Ethernet,100000000000,24,1,simetrico,2,ok,5.183325,,,,,,,5.183201,4.166595,1.016725,1.244,1.60e-13,3.14159265358995,,,,,6.1149,0.2095,0.0551,logs/trapecio_Ethernet_100000000000_24_1_simetrico_2.log
trapecio_Ethernet_100000000000_96_4_simetrico_2,trapecio,Ethernet,100000000000,96,4,simetrico,2,ok,1.024349,,,,,,,1.023974,0.793611,0.190132,1.290,6.53e-14,3.14159265358986,,,,,4.326,0.8562,0.3779,logs/trapecio_Ethernet_100000000000_96_4_simetrico_2.log
