experimento,tamano,procesos,T_E,T_W,S_E,S_W,E_E_pct,E_W_pct,T_W_sobre_T_E
trapecio,100000000,1,0.066698,0.06735,1.0,1.0,100.0,100.0,1.009775405559387
trapecio,100000000,24,0.003926,0.005561,16.988792664289353,12.111131091530298,70.78663610120564,50.46304621470958,1.4164544065206317
trapecio,100000000,48,0.002061,0.018343,32.361960213488594,3.671700376165294,67.4207504447679,7.649375783677695,8.900048520135858
trapecio,100000000,72,0.001983,0.089785,33.63489662128089,0.750125299326168,46.71513419622345,1.0418406935085667,45.2773575390822
trapecio,100000000,96,0.001661,0.146423,40.155328115593015,0.4599687207610826,41.82846678707606,0.47913408412612774,88.15352197471402
trapecio,100000000000,1,66.113517,66.526926,1.0,1.0,100.0,100.0,1.006253017820849
trapecio,100000000000,24,3.869576,4.045816,17.085468020268888,16.44338892327283,71.1894500844537,68.5141205136368,1.0455450416272998
trapecio,100000000000,48,1.927789,2.016062,34.29499649598582,32.99845242854635,71.44790936663712,68.7467758928049,1.0457897622613261
trapecio,100000000000,72,1.285578,1.368964,51.427075603347284,48.59654892312727,71.4264938935379,67.49520683767678,1.0648626532190189
trapecio,100000000000,96,0.964298,1.053217,68.5612922561283,63.16545023485189,71.41801276680032,65.79734399463739,1.0922111214583046
matrices,1024,1,0.145456,0.147472,1.0,1.0,100.0,100.0,1.0138598614013858
matrices,1024,24,0.032678,0.034179,4.451190403329457,4.314696158459872,18.546626680539408,17.977900660249468,1.0459330436379215
matrices,1024,48,0.347345,5.549577,0.4187652046236451,0.026573556867487375,0.872427509632594,0.05536157680726536,15.977132246037801
matrices,1024,72,0.567399,9.269884,0.25635575670736116,0.0159087211878811,0.35604966209355715,0.022095446094279308,16.337505000890026
matrices,1024,96,0.772748,14.113333,0.18823212742058212,0.010449126368661462,0.19607513272977306,0.010884506634022356,18.263823393913672
matrices,2048,1,1.199625,1.244563,1.0,1.0,100.0,100.0,1.0374600395957072
matrices,2048,24,0.193562,0.199079,6.197626600262447,6.251603634737968,25.823444167760197,26.048348478074868,1.0285024953244954
matrices,2048,48,1.252217,21.085757,0.9580008896221661,0.0590238709475785,1.9958351867128459,0.12296639780745522,16.83874041000881
matrices,2048,72,1.982867,31.687304,0.6049951913063256,0.039276392841751384,0.8402710990365634,0.05455054561354359,15.980549376231489
matrices,2048,96,2.788212,46.322868,0.43024884764860055,0.02686714043698676,0.4481758829672922,0.02798660462186121,16.613825634492642
matrices,3072,1,3.816321,3.90403,1.0,1.0,100.0,100.0,1.0229826054988562
matrices,3072,24,0.512022,0.553372,7.453431688482135,7.054982904809062,31.05596536867556,29.395762103371094,1.0807582486690026
matrices,3072,48,2.815416,44.256782,1.3555087418697627,0.08821314663140216,2.823976545562006,0.18377738881542116,15.719446788680608
matrices,3072,72,4.352181,65.984071,0.8768755251677263,0.05916624938161212,1.2178826738440642,0.08217534636335017,15.161150466857881
matrices,3072,96,6.174707,101.042337,0.6180570187378932,0.03863756635003405,0.6438093945186387,0.04024746494795214,16.3639079554706
